model,train_time,num_params,flops,compute_tput,load_tput
flat,28.00125,86.22336,92.111417344,584.8388755329408,274.4230584085335
mni_cortex,50.214166666666664,86.990592,115.64578816,472.41557608546566,147.64160208891636
schaefer400,11.10361111111111,85.37088,89.00184064,615.0899250713404,3753.524353276825
